,Chukchi,Koryak,Yakut,Selkup,Korean,Ainu,Buryat,Even,Evenki,Japanese,Nganasan,Nivkh,West Greenlandic,Yukagir
Chukchi,0,,,,,,,,,,,,,
Koryak,0.02517,0,,,,,,,,,,,,
Yakut,0.05448,0.05906,0,,,,,,,,,,,
Selkup,0.0664,0.07322,0.0414,0,,,,,,,,,,
Korean,0.06519,0.07052,0.02834,0.05686,0,,,,,,,,,
Ainu,0.1265,0.1286,0.1004,0.1214,0.0913,0,,,,,,,,
Buryat,0.05036,0.05568,0.01559,0.03906,0.01824,0.09305,0,,,,,,,
Even,0.05194,0.05407,0.01988,0.04587,0.03935,0.1129,0.02214,0,,,,,,
Evenki,0.05224,0.05697,0.003062,0.04033,0.02885,0.1043,0.01516,0.01555,0,,,,,
Japanese,0.06355,0.06736,0.03117,0.0607,0.003133,0.06743,0.02193,0.03983,0.03216,0,,,,
Nganasan,0.06909,0.07407,0.03817,0.05091,0.06172,0.1315,0.03997,0.0328,0.0323,0.06062,0,,,
Nivkh,0.0728,0.07209,0.05014,0.07641,0.04766,0.09556,0.04273,0.05009,0.04928,0.04104,0.07667,0,,
West Greenlandic,0.0439,0.07549,0.06752,0.07132,0.07682,0.147,0.06268,0.07785,0.06788,0.07745,0.09343,0.09893,0,
Yukagir,0.05058,0.05573,0.0185,0.04488,0.04146,0.1167,0.0235,0.02266,0.01798,0.04128,0.04261,0.05991,0.07037,0
