"","Ainu","Chukchi","Evenki","Even","Nivkh","West_Greenlandic","Korean","Koryak","Buriat","Nganasan","Japanese","Selkup","Yukagir","Yakut"
"Ainu",,,,,,,,,,,,,,
"Chukchi",0.892665355404156,,,,,,,,,,,,,
"Evenki",0.858586301327164,0.84243824436332,,,,,,,,,,,,
"Even",0.85547604411053,0.852784008817854,0.521855786412023,,,,,,,,,,,
"Nivkh",0.86702808985299,0.844435017577555,0.826217578861519,0.844672943066999,,,,,,,,,,
"West_Greenlandic",0.863405055815782,0.862109577886169,0.804740468350416,0.833810422110531,0.857077987408098,,,,,,,,,
"Korean",0.857182753778776,0.856045890295233,0.841941073520116,0.841691289392075,0.865194880930196,0.83800067636542,,,,,,,,
"Koryak",0.877799649507044,0.392317721721327,0.854436391768439,0.824978145167024,0.85842856597489,0.839523615610928,0.84916824893716,,,,,,,
"Buriat",0.854527821285885,0.85288735458083,0.784696102940666,0.775029978901496,0.855446441939095,0.868428903706775,0.858078894567781,0.835421146879979,,,,,,
"Nganasan",0.833596491372811,0.852983698696456,0.837171047120679,0.824563627581128,0.834480523626724,0.857471298338304,0.846617118763262,0.847980684558948,0.859049881890206,,,,,
"Japanese",0.840178912274705,0.87738018483547,0.859868807344307,0.862977027123906,0.862750389938074,0.868687313727582,0.86589164906127,0.885129960037789,0.862762198455548,0.861237120619831,,,,
"Selkup",0.853913991267709,0.857479415788296,0.848061913143584,0.850468053689697,0.847212193657543,0.84803011109527,0.853760532520129,0.859843088985403,0.852622715860018,0.649024847854016,0.853830926652219,,,
"Yukagir",0.880189763548168,0.812605092007187,0.870418698218864,0.863953329755353,0.821059055239108,0.863614693276021,0.849906289102846,0.810287655552339,0.853178895431014,0.81506126289915,0.867510222000533,0.794119007582724,,
"Yakut",0.870496855170318,0.866066589824677,0.863671199967926,0.859393117970187,0.858054079590346,0.872647640675358,0.87844720958686,0.874968484793019,0.821152491338289,0.833427365150124,0.869950373080859,0.831740460150142,0.8045119086867,
