,Ainu,Japanese,Korean,Buryat,Chukchi,WestGreenland,Evenk,Even,Koryak,Nganasa,Selkup,Nivkh,Yukagir,Yakut
Ainu,0,,,,,,,,,,,,,
Japanese,0.03396,0,,,,,,,,,,,,
Korean,0.02446,0.00793,0,,,,,,,,,,,
Buryat,0.0332,0.02698,0.01159,0,,,,,,,,,,
Chukchi,0.02415,0.0295,0.01722,0.01671,0,,,,,,,,,
WestGreenland,0.02581,0.0231,0.01035,0.00908,0.00606,0,,,,,,,,
Evenk,0.01715,0.02581,0.01112,0.0064,0.01471,0.00604,0,,,,,,,
Even,0.01653,0.03168,0.0175,0.01612,0.00185,0.00379,0.00826,0,,,,,,
Koryak,0.00915,0.02956,0.01808,0.0213,0.0082,0.00993,0.01091,0.00347,0,,,,,
Nganasa,0.0359,0.02904,0.02033,0.01985,0.00486,0.00683,0.02295,0.01204,0.01725,0,,,,
Selkup,0.02557,0.02847,0.01075,0.00527,0.00882,0.00186,0.0043,0.00766,0.01264,0.00808,0,,,
Nivkh,0.02664,0.0311,0.02463,0.02558,0.00421,0.01514,0.02778,0.01096,0.01594,0.00527,0.01721,0,,
Yukagir,0.02309,0.02544,0.0183,0.01658,0,0.00595,0.01361,0.002,0.0086,0.00734,0.01035,0.00558,0,
Yakut,0.02145,0.03441,0.01781,0.01741,0.0005,0.00525,0.01277,0.00348,0.00717,0.0075,0.0097,0.00852,0.00174,0
