Variable,Narrow_Phon_Definition_Binary,Narrow_Phon_Definition_Detailed,Broad_Phon_Definition_Binary,Broad_Phon_Definition_Detailed,Broad_Phon_Definition_MoreDetailed,Broad_Phon_Definition_Consonantal_Vocalic,Broad_Phon_Definition_Prosodic_Segmental,Area_in_WALS
ANU$Any breathiness,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Segmental,
ANU$Are zero onsets allowed?,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Breathy tones,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Prosodic,
ANU$C1 in a CC coda = glide,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$C1 in a CC coda = glottal stop,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$C1 in a CC coda = liquid,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$C1 in a CC coda = nasal,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$C2 in a CC coda = s,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$CCV language,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$CCVC language,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Coda = glide,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Coda = glottal stop,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Coda = nasal,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Coda = ng,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Coda = p t k glottal,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Coda = r l,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Coda = s,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Codas require onsets,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Creaky tones,Phonology,Phonology,Phonology,Phonology,Phonology,Phonology,Prosodic,
ANU$CV language,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$CVC language,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$General epenthesis,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Glottal stops in codas?,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Glottal stops in onsets?,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Onset second C = w,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Onset second C = y,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Onset second C is preferentially glide,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
ANU$Onset second C is preferentially liquid,Grammar,Phonotatics,Phonology,Phonotatics,Phonotatics,Phonotatics,Phonotatics,
